9276-5,4.00,2.00,38,104,9276-1,9276-2,9276-3,9276-4
8129-2,4.00,2.00,1,144,8129-1
8580-7,4.00,2.00,1,144,8580-4,8580-6
8129-1,4.00,2.00,125,1,
4841-1,4.00,4.00,89,44,
4841-2,8.00,4.00,1,144,4841-1
4841-3,2.00,2.00,1,144,4841-2
1116-2,4.00,2.00,1,144,1116-1
3816-10,8.00,8.00,1,144,3816-9
7228-1,8.00,4.00,59,100,
7228-2,8.00,4.00,4,46,
7228-3,8.00,4.00,59,110,7228-1,7228-2
1973-1,4.00,4.00,6,60,
1973-2,2.00,2.00,1,144,1973-1
1640-1,4.00,2.00,3,67,
1640-2,2.00,4.00,1,144,1640-1
3692-8,4.00,2.00,235,56,3692-7
8830-1,2.00,1.00,254,109,
8830-2,8.00,16.00,125,72,
7562-15,16.00,8.00,6,90,7562-2,7562-14
7562-14,4.00,2.00,24,112,7562-5,7562-8,7562-11,7562-12,7562-13
7562-17,8.00,4.00,1,144,7562-16
7562-16,8.00,4.00,1,125,
7562-11,16.00,16.00,1,144,7562-10
7562-10,2.00,1.00,13,122,7562-9
8584-10,8.00,4.00,24,81,8584-2,8584-4,8584-5,8584-6,8584-7,8584-8,8584-9
8584-11,4.00,2.00,47,35,8584-10
5288-1,8.00,4.00,9,40,
5288-2,2.00,4.00,1,144,5288-1
5288-3,4.00,2.00,1,144,5288-2
8241-4,2.00,1.00,1,144,8241-3
8241-3,4.00,2.00,125,1,
39-3,1.00,1.00,328,97,39-1,39-2
39-2,2.00,1.00,250,59,
39-1,4.00,4.00,17,72,
39-6,8.00,8.00,44,37,39-2,39-4,39-5
39-5,4.00,4.00,36,108,
39-4,1.00,1.00,230,101,
615-4,4.00,4.00,1,144,
615-5,2.00,1.00,15,46,615-1,615-2,615-3,615-4
615-2,1.00,1.00,1,144,
615-3,2.00,1.00,250,82,
7524-7,2.00,1.00,9,72,7524-5,7524-6
615-1,4.00,2.00,1,144,
7868-1,1.00,0.50,47,130,
9758-6,1.00,0.50,275,65,
9758-4,4.00,4.00,37,105,9758-1,9758-3
9758-5,2.00,1.00,1,144,9758-4
6955-4,2.00,1.00,1,144,6955-3
6955-1,8.00,8.00,13,56,
6955-2,8.00,4.00,7,106,6955-1
6955-3,4.00,2.00,1,144,6955-2
3689-9,2.00,1.00,250,84,
3689-8,4.00,2.00,1,144,3689-6,3689-7
3689-3,2.00,1.00,6,129,
3689-2,2.00,1.00,1,131,
3689-1,8.00,4.00,1,89,
3689-7,4.00,4.00,1,144,3689-9
3689-6,4.00,2.00,1,144,3689-5
3689-5,4.00,4.00,2,132,3689-3,3689-4,3689-9
3689-4,8.00,4.00,1,144,
3973-3,2.00,1.00,118,29,
3973-2,2.00,1.00,1,144,3973-1
3973-1,4.00,4.00,1,144,
3973-5,4.00,4.00,1,144,3973-4
3973-4,1.00,0.50,51,88,3973-2,3973-3
