machine_1,92,288,2457,7,7,9
machine_2,92,288,2457,7,7,9
machine_3,92,288,2457,7,7,9
machine_4,92,288,2457,7,7,9
machine_5,92,288,2457,7,7,9
machine_6,92,288,2457,7,7,9
machine_7,92,288,2457,7,7,9
machine_8,92,288,2457,7,7,9
machine_9,92,288,2457,7,7,9
machine_10,92,288,2457,7,7,9
machine_11,92,288,2457,7,7,9
machine_12,92,288,2457,7,7,9
machine_13,92,288,2457,7,7,9
machine_14,92,288,2457,7,7,9
machine_15,92,288,2457,7,7,9
machine_16,92,288,2457,7,7,9
machine_17,92,288,2457,7,7,9
machine_18,92,288,2457,7,7,9
machine_19,92,288,2457,7,7,9
machine_20,92,288,2457,7,7,9
machine_21,92,288,2457,7,7,9
machine_22,92,288,2457,7,7,9
machine_23,92,288,2457,7,7,9
machine_24,92,288,2457,7,7,9
machine_25,92,288,2457,7,7,9
machine_26,92,288,2457,7,7,9
machine_27,92,288,2457,7,7,9
machine_28,92,288,2457,7,7,9
machine_29,92,288,2457,7,7,9
machine_30,92,288,2457,7,7,9
machine_31,92,288,2457,7,7,9
machine_32,92,288,2457,7,7,9
machine_33,92,288,2457,7,7,9
machine_34,92,288,2457,7,7,9
machine_35,92,288,2457,7,7,9
machine_36,92,288,2457,7,7,9
machine_37,92,288,2457,7,7,9
machine_38,92,288,2457,7,7,9
machine_39,92,288,2457,7,7,9
machine_40,92,288,2457,7,7,9
machine_41,92,288,2457,7,7,9
machine_42,92,288,2457,7,7,9
machine_43,92,288,2457,7,7,9
machine_44,92,288,2457,7,7,9
machine_45,92,288,2457,7,7,9
machine_46,92,288,2457,7,7,9
machine_47,92,288,2457,7,7,9
machine_48,92,288,2457,7,7,9
machine_49,92,288,2457,7,7,9
machine_50,92,288,2457,7,7,9
machine_51,92,288,2457,7,7,9
machine_52,92,288,2457,7,7,9
machine_53,92,288,2457,7,7,9
machine_54,92,288,2457,7,7,9
machine_55,92,288,2457,7,7,9
machine_56,92,288,2457,7,7,9
machine_57,92,288,2457,7,7,9
machine_58,92,288,2457,7,7,9
machine_59,92,288,2457,7,7,9
machine_60,92,288,2457,7,7,9
machine_61,92,288,2457,7,7,9
machine_62,92,288,2457,7,7,9
machine_63,92,288,2457,7,7,9
machine_64,92,288,2457,7,7,9
machine_65,92,288,2457,7,7,9
machine_66,92,288,2457,7,7,9
machine_67,92,288,2457,7,7,9
machine_68,92,288,2457,7,7,9
machine_69,92,288,2457,7,7,9
machine_70,92,288,2457,7,7,9
machine_71,92,288,2457,7,7,9
machine_72,92,288,2457,7,7,9
machine_73,92,288,2457,7,7,9
machine_74,92,288,2457,7,7,9
machine_75,92,288,2457,7,7,9
machine_76,92,288,2457,7,7,9
machine_77,92,288,2457,7,7,9
machine_78,92,288,2457,7,7,9
machine_79,92,288,2457,7,7,9
machine_80,92,288,2457,7,7,9
machine_81,92,288,2457,7,7,9
machine_82,92,288,2457,7,7,9
machine_83,92,288,2457,7,7,9
machine_84,92,288,2457,7,7,9
machine_85,92,288,2457,7,7,9
machine_86,92,288,2457,7,7,9
machine_87,92,288,2457,7,7,9
machine_88,92,288,2457,7,7,9
machine_89,92,288,2457,7,7,9
machine_90,92,288,2457,7,7,9
machine_91,92,288,2457,7,7,9
machine_92,92,288,2457,7,7,9
machine_93,92,288,2457,7,7,9
machine_94,92,288,2457,7,7,9
machine_95,92,288,2457,7,7,9
machine_96,92,288,2457,7,7,9
machine_97,92,288,2457,7,7,9
machine_98,92,288,2457,7,7,9
machine_99,92,288,2457,7,7,9
machine_100,92,288,2457,7,7,9
machine_101,92,288,2457,7,7,9
machine_102,92,288,2457,7,7,9
machine_103,92,288,2457,7,7,9
machine_104,92,288,2457,7,7,9
machine_105,92,288,2457,7,7,9
machine_106,92,288,2457,7,7,9
machine_107,92,288,2457,7,7,9
machine_108,92,288,2457,7,7,9
machine_109,92,288,2457,7,7,9
machine_110,92,288,2457,7,7,9
machine_111,92,288,2457,7,7,9
